,회사명,거래소코드,회계년도,자산,부채,자본,유동자산,유동부채,당좌자산,단기차입금,장기차입금,사채,매출액,당기순이익,감가상각비,기타대손상각비,이자비용,이자수익,유동성장기부채,영업활동으로 인한 현금흐름,영업이익,매출원가,투자자산,유형자산,무형자산,이연자산,매출채권,재고자산,법인세비용차감전,세금과공과,퇴직급여,임차료,영업외수익,영업외비용,회계월
269467,우미건설(주),16710,2017,729513405.0,320325118.0,409188287.0,687880065.0,238717917.0,460138167.0,0.0,71592150.0,0.0,712434820.0,77368847.0,346209.0,0.0,0.0,6329823.0,4607390.0,142175558.0,119379608.0,569815107.0,26305384.0,1115677.0,262984.0,0.0,74495218.0,227741898.0,111835581.0,70271.0,509891.0,239491.0,7149446.0,14693474.0,Dec
269741,울산광역시도시공사,57883,2011,558267318.0,426794144.0,131473174.0,503745471.0,161569643.0,162370245.0,0.0,251015727.0,0.0,21136733.0,2053414.0,132852.0,0.0,0.0,2006221.0,138947303.0,-55227394.0,446835.0,14937860.0,19154.0,47889493.0,0.0,0.0,0.0,341375226.0,2053414.0,62831.0,173863.0,31235.0,2778973.0,1172394.0,Dec
269742,울산광역시도시공사,57883,2012,674838251.0,495681142.0,179157109.0,562674607.0,241219265.0,111816660.0,0.0,217121102.0,0.0,68352966.0,9213216.0,170019.0,0.0,0.0,5840742.0,110288875.0,11629891.0,8300053.0,53071463.0,0.0,102604276.0,0.0,0.0,4007863.0,450857947.0,11410109.0,119352.0,316820.0,139010.0,6911428.0,3801372.0,Dec
269743,울산광역시도시공사,57883,2013,740120540.0,548269221.0,191851320.0,601178848.0,301527102.0,130668801.0,0.0,201883855.0,0.0,139430092.0,12928292.0,161426.0,0.0,0.0,4029375.0,130101247.0,-3597425.0,17753877.0,116297550.0,0.0,125520578.0,0.0,0.0,11808994.0,470510047.0,16511975.0,134799.0,288809.0,135539.0,5066632.0,6308535.0,Dec
269744,울산광역시도시공사,57883,2014,704243677.0,493897257.0,210346420.0,522761208.0,316987227.0,77663526.0,0.0,142220090.0,0.0,187528266.0,8602891.0,156668.0,0.0,0.0,1991557.0,161106765.0,-32090104.0,16795843.0,165793380.0,0.0,166697443.0,0.0,0.0,54454184.0,445097683.0,11072364.0,164722.0,227852.0,54027.0,2761790.0,8485269.0,Dec
269745,울산광역시도시공사,57883,2015,660708445.0,439110242.0,221598202.0,491845729.0,264436182.0,125346229.0,0.0,134358934.0,0.0,181262477.0,11402160.0,176600.0,0.0,0.0,1768343.0,116088672.0,143631334.0,18562508.0,156514271.0,0.0,145175711.0,0.0,0.0,5895493.0,366499501.0,14781145.0,1162000.0,538854.0,24333.0,3007638.0,6789000.0,Dec
61409,웅진코웨이개발(주),16811,2002,620771517.0,526028895.0,94742621.0,151835675.0,462186608.0,106478600.0,149237640.0,1724431.0,12000000.0,738740974.0,35314434.0,3920869.0,0.0,0.0,433344.0,16724452.0,88920879.0,90332833.0,171180107.0,17571176.0,406167673.0,9295171.0,0.0,52125372.0,45357075.0,50098597.0,544920.0,3829390.0,19080018.0,5616074.0,45850310.0,Dec
61410,웅진코웨이개발(주),16811,2003,566658233.0,423829625.0,142828609.0,169457926.0,309158399.0,137120996.0,83775425.0,0.0,62000000.0,827114273.0,57576453.0,6959091.0,0.0,0.0,318446.0,39906141.0,130107138.0,83693716.0,265772939.0,18756807.0,326884025.0,2380253.0,0.0,111515519.0,32336929.0,81953462.0,511240.0,4360248.0,22154267.0,31779495.0,33519749.0,Dec
61411,웅진코웨이개발(주),16811,2004,526763963.0,321862480.0,204901484.0,151632213.0,249546730.0,113859571.0,0.0,0.0,36000000.0,827772988.0,71020391.0,6981591.0,0.0,0.0,360791.0,33000000.0,242948825.0,113152755.0,303837207.0,13261824.0,337449308.0,646319.0,0.0,49135369.0,37772642.0,100600579.0,553363.0,5982730.0,19005246.0,4898382.0,17450558.0,Dec
269937,월드건설주식회사,10403,2007,614971724.0,399233529.0,215738194.0,339894782.0,304159621.0,255771316.0,28100000.0,40633297.0,40000000.0,508441175.0,30314530.0,778745.0,1508929.0,0.0,9116129.0,100680037.0,5360546.0,42318618.0,415856001.0,143575418.0,97486258.0,0.0,0.0,101121384.0,84123466.0,41969453.0,2569557.0,770015.0,980164.0,18577705.0,18926870.0,Dec
269938,월드건설주식회사,10403,2008,665727387.0,491951470.0,173775917.0,412496967.0,425562868.0,320871024.0,124019860.0,29299977.0,22500000.0,507870063.0,-82324260.0,510552.0,27450515.0,0.0,5902789.0,57136447.0,3068781.0,-1507095.0,424770736.0,83685040.0,129566857.0,0.0,0.0,192313719.0,91625943.0,-99654521.0,2161815.0,463843.0,763059.0,12865306.0,111012731.0,Dec
269939,월드건설주식회사,10403,2009,518398879.0,448766830.0,69632049.0,308351469.0,271351556.0,249921146.0,46737273.0,123238979.0,42500000.0,372563441.0,-96121414.0,476241.0,1144285.0,0.0,8205592.0,36693333.0,-58825017.0,-75755630.0,341704846.0,62572742.0,128770753.0,0.0,0.0,237185074.0,58430323.0,-93858671.0,1823817.0,297568.0,202119.0,16943346.0,35046387.0,Dec
